Country Name,iso_code,Indicator Name,unemployment
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force) (national estimate)",4.487001305
East Asia & Pacific,EAS,"Unemployment, total (% of total labor force) (national estimate)",4.461255823
East Asia & Pacific (excluding high income),EAP,"Unemployment, total (% of total labor force) (national estimate)",4.585418282
East Asia & Pacific (IDA & IBRD countries),TEA,"Unemployment, total (% of total labor force) (national estimate)",4.585418282
Euro area,EMU,"Unemployment, total (% of total labor force) (national estimate)",7.711859984
Europe & Central Asia,ECS,"Unemployment, total (% of total labor force) (national estimate)",7.098884326
Europe & Central Asia (excluding high income),ECA,"Unemployment, total (% of total labor force) (national estimate)",7.306629329
Europe & Central Asia (IDA & IBRD countries),TEC,"Unemployment, total (% of total labor force) (national estimate)",6.819377448
European Union,EUU,"Unemployment, total (% of total labor force) (national estimate)",7.006950858
High income,HIC,"Unemployment, total (% of total labor force) (national estimate)",5.698924906
Late-demographic dividend,LTE,"Unemployment, total (% of total labor force) (national estimate)",5.805005336
Latin America & Caribbean,LCN,"Unemployment, total (% of total labor force) (national estimate)",9.522035208
Latin America & Caribbean (excluding high income),LAC,"Unemployment, total (% of total labor force) (national estimate)",9.546310946
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Unemployment, total (% of total labor force) (national estimate)",9.528833846
North America,NAC,"Unemployment, total (% of total labor force) (national estimate)",5.586510555
OECD members,OED,"Unemployment, total (% of total labor force) (national estimate)",6.265610109
Post-demographic dividend,PST,"Unemployment, total (% of total labor force) (national estimate)",5.884698942
Upper middle income,UMC,"Unemployment, total (% of total labor force) (national estimate)",6.685398122
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",5.579999924
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",8.739999771
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",5.119999886
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",6.460000038
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",5.949999809
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",3.900000095
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",6.260000229
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",10.15999985
Bhutan,BTN,"Unemployment, total (% of total labor force) (national estimate)",4.800000191
