country_name,iso_code,total_alcohol_consumption,GDP_per_capita
Afghanistan,AFG,0.21,2033.804389
Albania,ALB,7.17,13323.75336
Algeria,DZA,0.95,11642.19835
Angola,AGO,6.94,6933.499934
Antigua and Barbuda,ATG,6.38,21030.39507
Argentina,ARG,9.65,22759.39856
Armenia,ARM,5.55,12715.10895
Australia,AUS,10.51,49151.68871
Austria,AUT,11.96,55297.61829
Azerbaijan,AZE,4.41,14209.64941
Bahamas,BHS,4.78,37019.99505
Bahrain,BHR,1.09,46200.44558
Bangladesh,BGD,0.019,4440.85547
Barbados,BRB,9.69,15674.90432
Belarus,BLR,11.45,18885.2355
Belgium,BEL,11.08,51110.95847
Belize,BLZ,6.22,7261.870287
Benin,BEN,2.81,3160.78067
Bhutan,BTN,0.43,11348.44195
Bolivia,BOL,4.43,8655.531498
Bosnia and Herzegovina,BIH,7.15,14386.73185
Botswana,BWA,6.59,17634.65619
Brazil,BRA,7.42,14668.25616
Brunei,BRN,0.48,60389.18465
Bulgaria,BGR,12.65,22208.45228
Burkina Faso,BFA,12.03,2120.330268
Burundi,BDI,7.19,761.5241252
Cambodia,KHM,6.64,4159.338194
Cameroon,CMR,5.65,3603.548275
Canada,CAN,8.94,48796.81378
Cape Verde,CPV,5.6,6864.185298
Central African Republic,CAF,2.38,933.1099506
Chad,TCD,1.37,1576.321115
Chile,CHL,9.07,25028.90999
China,CHN,7.05,15242.98586
Colombia,COL,5.74,14314.85558
Comoros,COM,0.69,3066.837847
Congo,COG,9.27,3933.425551
Costa Rica,CRI,4.87,20559.86043
Cote d'Ivoire,CIV,2.71,5033.478826
Croatia,HRV,9.23,27799.84332
Cyprus,CYP,10.81,39559.48796
Czechia,CZE,14.45,39932.99219
Democratic Republic of Congo,COD,2,1085.893688
Denmark,DNK,10.26,56281.28887
Djibouti,DJI,0.43,5214.072187
Dominica,DMA,11.18,11537.01907
Dominican Republic,DOM,6.68,17711.79553
Ecuador,ECU,4.2,11561.74785
Egypt,EGY,0.36,11366.33552
El Salvador,SLV,3.89,8614.017959
Equatorial Guinea,GNQ,7.23,20386.01387
Estonia,EST,9.23,35208.02396
Eswatini,SWZ,10.04,8520.592386
Ethiopia,ETH,2.36,2103.515858
Fiji,FJI,3.32,13846.15884
Finland,FIN,10.78,48130.29239
France,FRA,12.33,45251.90541
Gabon,GAB,8.74,14744.43433
Gambia,GMB,3.55,2158.077558
Georgia,GEO,8.25,14253.40899
Germany,DEU,12.91,53463.40148
Ghana,GHA,2.75,5177.883989
Greece,GRC,10.18,29150.69449
Grenada,GRD,9.48,16801.95524
Guatemala,GTM,2.45,8462.172107
Guinea,GIN,1.11,2499.707266
Guinea-Bissau,GNB,5.38,1901.931739
Guyana,GUY,6.89,12477.57671
Haiti,HTI,2.73,2992.310411
Honduras,HND,3.76,5680.362884
Hungary,HUN,11.35,31095.5575
Iceland,ISL,9.12,56722.11937
India,IND,5.54,6518.845055
Indonesia,IDN,0.57,11371.72556
Iran,IRN,1.03,13471.86064
Iraq,IRQ,0.39,10346.21296
Ireland,IRL,12.88,84303.34089
Israel,ISR,4.21,39418.34531
Italy,ITA,7.84,42052.55638
Jamaica,JAM,4.22,9734.862288
Japan,JPN,7.96,41182.3802
Jordan,JOR,0.69,10013.39766
Kazakhstan,KAZ,4.76,25544.34476
Kenya,KEN,2.78,4203.838273
Kiribati,KIR,0.46,2254.059232
Kuwait,KWT,0.003,50478.58751
Kyrgyzstan,KGZ,6.26,5133.151915
Laos,LAO,10.72,7592.829475
Latvia,LVA,12.77,30036.08655
Lebanon,LBN,1.71,15588.15287
